STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,THRESHOLD,1000000
8411.T,1459.434937,301,1330.366089,-38849.72314,-8.84,2021-09-29,2021-11-19,35,69,47,0.110718849,0.073507444,1.506226343,0.03,1298891.409
2201.T,3722.829346,107,3565.727783,-16809.86719,-4.22,2021-11-19,2021-11-25,4,178,61,0.21917168,0.118925816,1.842927692,0.06,1282081.542
8308.T,411.2869873,806,387.8621826,-18880.39258,-5.7,2021-11-17,2021-11-30,9,127,49,0.169278241,0.086916774,1.947590011,0.06,1263201.149
7733.T,2426.426758,123,2486.630615,7405.074463,2.48,2021-09-28,2021-12-01,44,56,52,0.130160642,0.114297316,1.138790008,0.06,1270606.224
7177.T,840.5822144,319,821.6715698,-6032.495605,-2.25,2021-10-19,2021-12-13,39,78,34,0.154837449,0.055880672,2.770858739,0.06,1264573.728
4062.T,6904.460449,55,6874.827637,-1629.804688,-0.43,2021-11-25,2022-01-05,28,51,18,0.213734962,0.070100082,3.048997313,0.06,1262943.923
6594.T,13430.26758,28,12128.50488,-36449.35547,-9.69,2022-01-05,2022-01-11,4,61,48,0.204644707,0.070958278,2.884014564,0.06,1226494.568
6728.T,6335.246582,41,5895.696777,-18021.54199,-6.94,2021-12-13,2022-01-20,27,67,17,0.187028741,0.096530929,1.937500678,0.03,1208473.026
1414.T,4973.356934,63,4962.450684,-687.09375,-0.22,2021-12-09,2022-01-25,32,63,22,0.121832332,0.062378289,1.953120767,0.03,1207785.932
2914.T,2117.274902,115,2032.385376,-9762.295532,-4.01,2022-01-20,2022-02-22,20,39,31,0.060309016,0.025913281,2.327340051,0.03,1198023.637
2269.T,3423.101563,91,3240.664063,-16601.8125,-5.33,2022-01-26,2022-02-25,19,57,20,0.117812028,0.049088436,2.399995531,0.03,1181421.824
1861.T,2655.572266,129,2483.950684,-22139.18408,-6.46,2022-01-11,2022-03-08,37,78,21,0.11447231,0.047782809,2.395679793,0.03,1159282.64
9715.T,2977.485352,99,2707.722412,-26706.53101,-9.06,2022-03-02,2022-03-08,4,37,19,0.156856614,0.081664213,1.920750936,0.03,1132576.109
2809.T,2389.281006,123,2215.638672,-21358.00708,-7.27,2022-03-10,2022-04-06,18,41,20,0.125050854,0.058871329,2.124138468,0.03,1111218.102
8001.T,3253.625,95,3747.802734,46946.88477,15.19,2021-12-08,2022-04-12,84,168,82,0.151623903,0.124456869,1.218284734,0.03,1158164.987
2587.T,4652.71875,76,4867.535156,16326.04688,4.62,2022-04-13,2022-05-26,27,163,40,0.21419907,0.079748053,2.685947342,0.03,1174491.034
6701.T,5065.441895,54,5055.737793,-524.0214844,-0.19,2022-04-06,2022-05-31,35,69,48,0.218171802,0.129005896,1.691176979,0.06,1173967.012
4528.T,2759.383057,107,3127.036133,39338.87915,13.32,2022-03-14,2022-06-02,53,40,31,0.086332246,0.048961987,1.763250468,0.03,1213305.891
2811.T,2988.391846,78,3215.608398,17722.89111,7.6,2022-02-22,2022-06-14,74,51,43,0.093066336,0.079338804,1.173024187,0.03,1231028.782
7516.T,3517.144531,78,3368.194336,-11618.11523,-4.23,2022-05-31,2022-06-16,11,211,47,0.190721187,0.084699368,2.251742751,0.06,1219410.667
6971.T,6998.189453,53,7029.305176,1649.133301,0.44,2022-05-26,2022-06-22,18,104,56,0.183118165,0.067250206,2.722938331,0.06,1221059.8
8354.T,2320.245605,113,2181.371338,-15692.79224,-5.99,2022-06-16,2022-07-07,14,71,55,0.166129007,0.142915274,1.162430037,0.03,1205367.008
4208.T,1938.599609,129,1888.076172,-6517.523438,-2.61,2022-06-14,2022-07-13,20,40,32,0.080598433,0.079633142,1.012121719,0.03,1198849.485
2914.T,2206.14209,110,2129.698486,-8408.796387,-3.47,2022-07-13,2022-08-04,16,113,32,0.150231106,0.033071875,4.542563976,0.06,1190440.688
8585.T,1215.319092,275,1234.609863,5304.962158,1.59,2022-06-02,2022-08-09,46,79,55,0.186011973,0.071428574,2.604167515,0.06,1195745.65
8725.T,3799.185303,98,3765.655029,-3285.966797,-0.88,2022-06-24,2022-08-09,31,70,22,0.123498458,0.064476666,1.91539769,0.03,1192459.684
3288.T,5287.159668,47,5335.665527,2279.775391,0.92,2022-07-07,2022-08-16,28,59,43,0.185710379,0.093577862,1.984554623,0.06,1194739.459
8309.T,3939.061035,59,4009.18457,4137.288574,1.78,2022-08-04,2022-09-14,28,91,35,0.115039272,0.052219354,2.203000654,0.06,1198876.748
6849.T,3029.453125,117,2838.529297,-22338.08789,-6.3,2022-08-10,2022-09-22,30,65,18,0.14565918,0.07041803,2.068492675,0.06,1176538.66
8053.T,1723.495972,206,1710.056396,-2768.55249,-0.78,2022-08-09,2022-09-26,33,41,19,0.126109131,0.041677887,3.025804317,0.06,1173770.107
8015.T,4701.632324,50,4397.995117,-15181.86035,-6.46,2022-09-14,2022-09-26,8,78,18,0.192734675,0.0635722,3.031744602,0.03,1158588.247
8593.T,614.3939209,411,606.9126587,-3074.798767,-1.22,2022-08-16,2022-09-28,30,142,64,0.161723106,0.042618045,3.794709688,0.09,1155513.448
5947.T,3566.702148,76,3066.513672,-38014.32422,-14.02,2022-10-06,2022-11-04,21,212,49,0.284588117,0.090520045,3.143923703,0.06,1117499.124
6501.T,6923.66748,33,7040.447266,3853.73291,1.69,2022-11-04,2022-12-07,23,268,74,0.378997996,0.153576662,2.467809838,0.06,1121352.857
8802.T,1894.034302,176,1674.85083,-38576.29102,-11.57,2022-09-22,2022-12-20,62,451,90,0.237794027,0.094556608,2.514832448,0.03,1082776.566
8892.T,776.623291,352,779.4820557,1006.285156,0.37,2022-10-03,2022-12-20,55,112,63,0.14110434,0.082208625,1.716417718,0.03,1083782.851
8031.T,3174.432861,87,3749.139648,49999.49048,18.1,2022-10-07,2022-12-23,55,82,37,0.239544552,0.081489923,2.93956042,0.03,1133782.341
9983.T,27732.46289,8,24268.37891,-27712.67188,-12.49,2022-12-07,2023-01-13,24,63,48,0.162140973,0.096332457,1.683139606,0.03,1106069.67
7516.T,3338.561035,91,3104.959229,-21257.7644,-7,2022-12-29,2023-01-16,11,54,30,0.135276922,0.056851276,2.379487886,0.03,1084811.905
6268.T,3382.387207,57,3481.143066,5629.083984,2.92,2023-01-13,2023-02-20,23,89,56,0.178368242,0.080814097,2.207142667,0.03,1090440.989
4716.T,8321.945313,36,8903.004883,20918.14453,6.98,2022-12-28,2023-03-10,48,99,33,0.164497069,0.106508874,1.544444718,0.03,1111359.134
8425.T,3195.430176,88,3349.195068,13531.31055,4.81,2023-01-16,2023-03-14,38,89,64,0.107520056,0.057142873,1.881600461,0.03,1124890.444
8593.T,621.2717896,496,661.477417,19941.99121,6.47,2022-12-30,2023-03-16,50,73,30,0.081851686,0.050847356,1.609753049,0.03,1144832.435
6183.T,1471.664551,217,1401.071655,-15318.65833,-4.8,2023-03-10,2023-03-16,4,190,29,0.15950068,0.035245751,4.525387504,0.06,1129513.777
8113.T,5208.528809,59,5255.354004,2762.686523,0.9,2023-03-22,2023-04-11,11,57,39,0.10967865,0.067521065,1.624361958,0.03,1132276.464
6981.T,2513.966309,124,2519.911133,737.1582031,0.24,2023-03-24,2023-04-26,20,83,44,0.177618988,0.082939971,2.141536664,0.03,1133013.622
6670.T,953,326,943,-3260,-1.05,2023-04-11,2023-05-12,22,44,32,0.082057738,0.066861832,1.227273243,0.06,1129753.622
9532.T,2168.312744,144,2180.156006,1705.429688,0.55,2023-04-26,2023-05-31,23,78,70,0.080364208,0.026039834,3.086202776,0.06,1131459.052
6861.T,61582.5,5,67686.89063,30521.95313,9.91,2023-03-23,2023-06-26,61,84,44,0.185632157,0.083849496,2.213873261,0.03,1161981.005
7701.T,4250.619629,72,4353.032227,7373.707031,2.41,2023-05-12,2023-06-27,30,55,38,0.092827923,0.035087741,2.645594136,0.06,1169354.712
5076.T,967.2808838,208,1308.10376,70891.1582,35.24,2023-02-20,2023-07-11,95,250,80,0.22857155,0.085824449,2.663245173,0.06,1240245.87
7272.T,3386.185303,93,3933,50853.76685,16.15,2023-05-31,2023-07-13,30,54,27,0.172965187,0.056686009,3.051285307,0.06,1291099.637
2371.T,2097.990967,161,1824.168579,-44085.40442,-13.05,2023-06-26,2023-08-03,28,120,35,0.212685064,0.071361528,2.980388308,0.06,1247014.232
1820.T,3434.916748,93,3473.104248,3551.4375,1.11,2023-07-13,2023-08-08,18,35,27,0.111174503,0.02879131,3.861390929,0.03,1250565.67
2503.T,2123.324707,148,2010.5,-16698.05664,-5.31,2023-06-27,2023-08-10,32,191,58,0.160919903,0.086442668,1.861579541,0.03,1233867.613
2282.T,3938,81,4472,43254,13.56,2023-07-14,2023-09-22,50,40,24,0.066023362,0.038598273,1.710526316,0.03,1277121.613
1928.T,2863.5,102,3029,16881,5.78,2023-08-03,2023-09-26,38,41,29,0.093234513,0.048584582,1.919014417,0.03,1294002.613
3402.T,794.8482056,409,743.5,-21001.41608,-6.46,2023-08-09,2023-10-03,38,135,33,0.141107764,0.07886563,1.789217481,0.03,1273001.197
6971.T,7665,47,7175,-23030,-6.39,2023-09-22,2023-10-04,7,268,97,0.224544458,0.120808871,1.858675235,0.03,1249971.197
2897.T,13100,24,11940,-27840,-8.85,2023-10-06,2023-10-16,6,86,63,0.126290033,0.081159372,1.556074541,0.03,1222131.197
6098.T,4947.922852,60,4348,-35995.37109,-12.12,2023-08-15,2023-10-24,48,214,59,0.331870649,0.115322576,2.87775959,0.03,1186135.826
