stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
2015.HK,126.0999984741211,425,134.10000610351562,3400.003242492676,2022-07-31 15:44:19.402792,2022-08-01 15:44:19.402792
0700.HK,299.6000061035156,190,312.0,2355.9988403320312,2022-08-02 15:44:19.402792,2022-08-04 15:44:19.402792
0700.HK,312.0,190,299.3999938964844,-2394.0011596679688,2022-08-05 15:44:19.402792,2022-08-08 15:44:19.402792
9999.HK,140.01605224609375,407,142.5127716064453,1016.1647796630859,2022-08-09 15:44:19.402792,2022-08-12 15:44:19.402792
9618.HK,222.60000610351562,260,221.1999969482422,-364.00238037109375,2022-08-13 15:44:19.402792,2022-08-16 15:44:19.402792
0316.HK,214.113037109375,269,200.48104858398438,-3667.004913330078,2022-08-17 15:44:19.402792,2022-08-18 15:44:19.402792
0316.HK,200.48104858398438,269,213.5677490234375,3520.3224182128906,2022-08-19 15:44:19.402792,2022-08-20 15:44:19.402792
0316.HK,213.5677490234375,269,202.6621551513672,-2933.604751586914,2022-08-21 15:44:19.402792,2022-08-23 15:44:19.402792
2688.HK,106.28400421142578,514,112.53600311279297,3213.5274353027344,2022-08-24 15:44:19.402792,2022-08-25 15:44:19.402792
1211.HK,262.20001220703125,220,264.20001220703125,440.0,2022-08-26 15:44:19.402792,2022-08-29 15:44:19.402792
1211.HK,264.20001220703125,220,242.1999969482422,-4840.003356933594,2022-08-30 15:44:19.402792,2022-08-31 15:44:19.402792
0388.HK,317.79998779296875,168,314.3999938964844,-571.198974609375,2022-09-01 15:44:19.402792,2022-09-04 15:44:19.402792
0316.HK,150.0,352,142.1999969482422,-2745.60107421875,2022-09-05 15:44:19.402792,2022-09-08 15:44:19.402792
0316.HK,142.1999969482422,352,144.6999969482422,880.0,2022-09-09 15:44:19.402792,2022-09-12 15:44:19.402792
0316.HK,144.6999969482422,352,142.39999389648438,-809.60107421875,2022-09-13 15:44:19.402792,2022-09-16 15:44:19.402792
9626.HK,138.6999969482422,362,131.0,-2787.398895263672,2022-09-17 15:44:19.402792,2022-09-19 15:44:19.402792
9626.HK,131.0,362,126.0,-1810.0,2022-09-20 15:44:19.402792,2022-09-23 15:44:19.402792
9626.HK,126.0,362,129.10000610351562,1122.2022094726562,2022-09-24 15:44:19.402792,2022-09-27 15:44:19.402792
9866.HK,141.0,331,130.89999389648438,-3343.102020263672,2022-09-28 15:44:19.402792,2022-09-29 15:44:19.402792
9866.HK,130.89999389648438,331,121.4000015258789,-3144.49747467041,2022-09-30 15:44:19.402792,2022-10-01 15:44:19.402792
9866.HK,121.4000015258789,331,134.0,4170.599494934082,2022-10-02 15:44:19.402792,2022-10-05 15:44:19.402792
9866.HK,134.0,331,112.0,-7282.0,2022-10-06 15:44:19.402792,2022-10-07 15:44:19.402792
9866.HK,112.0,331,103.5,-2813.5,2022-10-08 15:44:19.402792,2022-10-11 15:44:19.402792
9866.HK,103.5,331,99.69999694824219,-1257.801010131836,2022-10-12 15:44:19.402792,2022-10-13 15:44:19.402792
9961.HK,187.39999389648438,176,194.10000610351562,1179.2021484375,2022-10-14 15:44:19.402792,2022-10-15 15:44:19.402792
9961.HK,194.10000610351562,176,189.89999389648438,-739.2021484375,2022-10-16 15:44:19.402792,2022-10-19 15:44:19.402792
9866.HK,92.6500015258789,361,84.4000015258789,-2978.25,2022-10-20 15:44:19.402792,2022-10-21 15:44:19.402792
0700.HK,232.8000030517578,131,206.1999969482422,-3484.600799560547,2022-10-22 15:44:19.402792,2022-10-24 15:44:19.402792
0700.HK,206.1999969482422,131,213.1999969482422,917.0,2022-10-25 15:44:19.402792,2022-10-27 15:44:19.402792
0700.HK,213.1999969482422,131,200.8000030517578,-1624.3992004394531,2022-10-28 15:44:19.402792,2022-10-29 15:44:19.402792
0700.HK,200.8000030517578,131,227.39999389648438,3484.5988006591797,2022-10-30 15:44:19.402792,2022-11-01 15:44:19.402792
0388.HK,226.39999389648438,131,246.1999969482422,2593.8003997802734,2022-11-02 15:44:19.402792,2022-11-04 15:44:19.402792
0316.HK,121.5999984741211,266,128.8000030517578,1915.2012176513672,2022-11-05 15:44:19.402792,2022-11-07 15:44:19.402792
0316.HK,128.8000030517578,266,121.5999984741211,-1915.2012176513672,2022-11-08 15:44:19.402792,2022-11-10 15:44:19.402792
9866.HK,70.3499984741211,460,84.69999694824219,6600.999298095703,2022-11-11 15:44:19.402792,2022-11-12 15:44:19.402792
9866.HK,84.69999694824219,460,92.30000305175781,3496.0028076171875,2022-11-13 15:44:19.402792,2022-11-14 15:44:19.402792
9866.HK,92.30000305175781,460,88.8499984741211,-1587.0021057128906,2022-11-15 15:44:19.402792,2022-11-16 15:44:19.402792
2388.HK,24.700000762939453,1656,24.0,-1159.2012634277344,2022-11-17 15:44:19.402792,2022-11-20 15:44:19.402792
1211.HK,184.60000610351562,215,178.1999969482422,-1376.001968383789,2022-11-21 15:44:19.402792,2022-11-22 15:44:19.402792
0316.HK,127.5999984741211,300,134.5,2070.000457763672,2022-11-23 15:44:19.402792,2022-11-24 15:44:19.402792
3690.HK,138.89999389648438,291,139.39999389648438,145.5,2022-11-25 15:44:19.402792,2022-11-28 15:44:19.402792
9961.HK,205.39999389648438,197,235.60000610351562,5949.402404785156,2022-11-29 15:44:19.402792,2022-11-30 15:44:19.402792
