STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
7974.T,4682.8642578125,3100,4973.5126953125,901010.15625,6.21,2022-01-20 16:03:25.228388,2022-02-04 16:03:25.228388,8,38.82611634464622,24.507880729155975,526.2435652579896
1893.T,602.2191162109375,200,567.8861083984375,-6866.6015625,-5.7,2022-02-08 16:03:25.228388,2022-02-14 16:03:25.228388,4,43.499289176932976,31.598945027890466,3.323346488332291
8410.T,227.7502899169922,18700,228.67236328125,17242.771911621094,0.4,2022-01-28 16:03:25.228388,2022-02-15 16:03:25.228388,9,53.631601813235775,48.417275130803446,508.8347834425986
6724.T,1717.7366943359375,8900,1755.6767578125,337666.56494140625,2.21,2022-02-04 16:03:25.228388,2022-02-16 16:03:25.228388,8,12.804753928061146,8.274403315134856,645.7542126060791
2801.T,8558.5244140625,1500,8844.46484375,428910.64453125,3.34,2022-01-24 16:03:25.228388,2022-02-18 16:03:25.228388,16,12.900440590970367,8.23557091930058,559.7641673720213
7956.T,2117.59228515625,4800,1944.5926513671875,-830398.2421875,-8.17,2022-02-16 16:03:25.228388,2022-02-24 16:03:25.228388,6,39.645261274481996,30.010619733171247,309.23504401624547
5714.T,5153.103515625,1300,5687.20654296875,694333.935546875,10.36,2022-02-28 16:03:25.228388,2022-03-02 16:03:25.228388,2,44.506287847300996,33.7744469157735,497.58380642446383
5020.T,430.7121887207031,15500,402.1445617675781,-442798.2177734375,-6.63,2022-03-03 16:03:25.228388,2022-03-09 16:03:25.228388,4,42.87620120398043,29.83073608770071,480.5165305227627
7550.T,2730.475341796875,2400,2731.46240234375,2368.9453125,0.04,2022-03-01 16:03:25.228388,2022-03-10 16:03:25.228388,7,49.30560605372999,41.972281362161006,440.69294062102813
8331.T,661.21240234375,9900,718.2955322265625,565122.9858398438,8.63,2022-03-10 16:03:25.228388,2022-03-17 16:03:25.228388,5,11.67666704238722,8.799112893866011,520.7046077225193
2384.T,3155.6328125,2100,3263.266845703125,226031.4697265625,3.41,2022-02-25 16:03:25.228388,2022-03-22 16:03:25.228388,17,30.773078922546354,17.842498195944632,589.7449588877377
8802.T,1616.225341796875,3900,1764.678466796875,578967.1875,9.19,2022-03-16 16:03:25.228388,2022-03-23 16:03:25.228388,5,28.463283379330978,18.430154087644436,596.15042035809
7202.T,1398.43017578125,4700,1455.2626953125,267112.841796875,4.06,2022-03-15 16:03:25.228388,2022-04-01 16:03:25.228388,13,50.532232741927906,32.874506154361356,598.8353978243629
2897.T,8535.5712890625,800,8446.74609375,-71060.15625,-1.04,2022-03-17 16:03:25.228388,2022-04-01 16:03:25.228388,11,21.96697300897271,15.831709354841916,637.4970843172808
5334.T,1709.2052001953125,3900,1791.4083251953125,320592.1875,4.81,2022-03-14 16:03:25.228388,2022-04-04 16:03:25.228388,15,17.639782554869186,10.163701162788035,643.2761816657847
4921.T,2805.12451171875,2500,2752.791748046875,-130831.9091796875,-1.87,2022-03-22 16:03:25.228388,2022-04-05 16:03:25.228388,9,24.888807320925856,18.10857024947443,613.576818652288
4568.T,2519.571044921875,2700,2800.5703125,758698.0224609375,11.15,2022-03-23 16:03:25.228388,2022-04-07 16:03:25.228388,10,19.306302737258033,12.02010334463235,533.5633159989936
4307.T,4113.87353515625,1700,3971.677490234375,-241733.2763671875,-3.46,2022-04-04 16:03:25.228388,2022-04-18 16:03:25.228388,7,59.83401995675175,52.936063083227225,463.86203766239646
9434.T,1360.9366455078125,5200,1366.00439453125,26352.294921875,0.37,2022-04-08 16:03:25.228388,2022-04-19 16:03:25.228388,5,63.152334152499044,59.67961960751288,425.3408926620458
3349.T,12856.3701171875,600,11766.84765625,-653713.4765625,-8.47,2022-04-14 16:03:25.228388,2022-04-19 16:03:25.228388,1,10.832590521301878,6.929737669354649,612.1349224285358
9503.T,1118.0848388671875,6400,1127.5843505859375,60796.875,0.85,2022-04-13 16:03:25.228388,2022-04-27 16:03:25.228388,8,50.17576109591862,43.67817561848824,388.2990385100013
8058.T,4279.173828125,1600,4018.768798828125,-416648.046875,-6.09,2022-04-19 16:03:25.228388,2022-04-27 16:03:25.228388,6,51.2169134089703,39.82180105913408,629.8404448746863
4183.T,2817.29931640625,2500,2669.8662109375,-368582.763671875,-5.23,2022-04-21 16:03:25.228388,2022-04-27 16:03:25.228388,4,22.643345840315316,18.089195939888448,645.9790079884646
2433.T,1484.16552734375,4600,1452.4442138671875,-145918.0419921875,-2.14,2022-04-20 16:03:25.228388,2022-05-10 16:03:25.228388,12,41.6049536029069,33.5387673154831,666.9668533635943
4704.T,7085.4365234375,700,6695.05419921875,-273267.626953125,-5.51,2022-04-28 16:03:25.228388,2022-05-13 16:03:25.228388,9,51.54001328112501,33.13637473911698,708.9320360195173
4812.T,3630.797607421875,1700,4043.9404296875,702342.7978515625,11.38,2022-04-26 16:03:25.228388,2022-05-17 16:03:25.228388,13,24.461561996814236,19.99232371164898,617.5588722329198
7733.T,2735.5126953125,900,2594.020751953125,-127342.7490234375,-5.17,2022-05-13 16:03:25.228388,2022-05-19 16:03:25.228388,4,48.17548468811221,33.3589113971227,209.00851747053713
3003.T,1011.5636596679688,5200,991.7476196289062,-103043.408203125,-1.96,2022-05-06 16:03:25.228388,2022-05-20 16:03:25.228388,9,34.04907900548518,28.668786259715166,656.1980995234309
2181.T,190.6971893310547,45900,193.9202423095703,147938.1317138672,1.69,2022-05-17 16:03:25.228388,2022-05-30 16:03:25.228388,9,28.777734998030905,14.025847200871606,682.9196082521457
2201.T,3809.74365234375,1000,3853.58984375,43846.19140625,1.15,2022-05-20 16:03:25.228388,2022-05-30 16:03:25.228388,6,40.00001464689285,38.44701065826299,424.54690278929405
8002.T,1278.64501953125,6900,1294.5286865234375,109597.30224609375,1.24,2022-05-18 16:03:25.228388,2022-06-01 16:03:25.228388,10,35.50661211099424,25.778388995852687,562.4464298141031
4516.T,7816.78515625,600,7398.2021484375,-251149.8046875,-5.35,2022-05-23 16:03:25.228388,2022-06-02 16:03:25.228388,8,32.925835529044356,20.431314137814564,562.2733744774412
2670.T,1659.9080810546875,9000,1793.1854248046875,1199496.09375,8.03,2022-05-30 16:03:25.228388,2022-06-06 16:03:25.228388,4,62.74506327922059,57.77896061824608,507.2683004925415
4205.T,1330.6383056640625,6700,1320.0623779296875,-70858.7158203125,-0.79,2022-06-01 16:03:25.228388,2022-06-15 16:03:25.228388,9,61.677386496950206,51.2094281724715,416.74879006613537
4507.T,6636.4013671875,1400,6284.111328125,-493206.0546875,-5.31,2022-06-06 16:03:25.228388,2022-06-15 16:03:25.228388,7,26.749787427180912,23.144115107626117,323.4059491639334
5423.T,1573.60009765625,5600,1461.746337890625,-626381.0546875,-7.11,2022-06-07 16:03:25.228388,2022-06-15 16:03:25.228388,6,86.77857842370089,82.36811505023005,68.74913678161494
8309.T,3627.713623046875,1500,3840.88818359375,319761.8408203125,5.88,2022-05-27 16:03:25.228388,2022-06-20 16:03:25.228388,15,20.054436192268145,14.725685916169999,417.3351619087222
6055.T,1823.1328125,1300,2006.53662109375,238424.951171875,10.06,2022-06-03 16:03:25.228388,2022-06-27 16:03:25.228388,16,26.160694605431082,18.392835621918877,513.4138181117027
9503.T,1208.3294677734375,2400,1269.1260986328125,145911.9140625,5.03,2022-06-16 16:03:25.228388,2022-07-01 16:03:25.228388,10,31.648277909885167,22.85896405556311,551.9663254271767
8113.T,4263.38525390625,2300,4477.65087890625,492810.9375,5.03,2022-06-21 16:03:25.228388,2022-07-01 16:03:25.228388,7,29.596178237816893,18.596345898885478,304.9478114741511
9759.T,2298.234619140625,1100,2433.4248046875,148709.2041015625,5.88,2022-06-27 16:03:25.228388,2022-07-13 16:03:25.228388,11,51.07149183863198,37.336689702873855,618.8217681915826
7167.T,251.23728942871094,200,253.1405792236328,380.657958984375,0.76,2022-07-14 16:03:25.228388,2022-07-19 16:03:25.228388,3,68.44441958629793,63.28999798826521,332.78380144536396
9684.T,5706.41845703125,1700,6137.091796875,732144.677734375,7.55,2022-06-23 16:03:25.228388,2022-07-20 16:03:25.228388,18,25.116317609232503,17.068531042042885,622.0209904672267
4732.T,2243.968505859375,4100,2475.640869140625,949856.689453125,10.32,2022-06-24 16:03:25.228388,2022-07-20 16:03:25.228388,17,23.403408102850694,18.65074497168478,696.433943397942
8802.T,1877.5771484375,1400,1888.7098388671875,15585.7666015625,0.59,2022-07-13 16:03:25.228388,2022-07-22 16:03:25.228388,7,40.72608826726746,35.323226231272415,329.4724715681805
6670.T,913.31103515625,22600,920.0691528320312,152733.45947265625,0.74,2022-07-20 16:03:25.228388,2022-07-28 16:03:25.228388,6,73.90419247567303,60.70374759857159,218.09930530517482
6724.T,1852.3096923828125,7300,1915.94970703125,464572.10693359375,3.44,2022-07-04 16:03:25.228388,2022-07-29 16:03:25.228388,19,5.76867608737692,4.26194829130703,615.8899511401353
8876.T,2083.07763671875,1200,2150.019775390625,80330.56640625,3.21,2022-07-22 16:03:25.228388,2022-08-05 16:03:25.228388,10,37.52663162444937,30.11118553878229,466.24604148053135
1812.T,1434.45361328125,100,1357.322509765625,-7713.1103515625,-5.38,2022-07-26 16:03:25.228388,2022-08-05 16:03:25.228388,8,43.259206721069845,33.546104271229126,579.8844786186942
2413.T,4642.51904296875,3000,4658.42822265625,47727.5390625,0.34,2022-08-01 16:03:25.228388,2022-08-09 16:03:25.228388,6,61.595203831479715,44.54370844830042,490.549584292907
8804.T,1873.356689453125,11100,1969.27880859375,1064735.5224609375,5.12,2022-07-28 16:03:25.228388,2022-08-12 16:03:25.228388,11,71.22016469376948,66.92694616251082,351.8262914427546
4911.T,5591.12646484375,200,5365.90087890625,-45045.1171875,-4.03,2022-08-05 16:03:25.228388,2022-08-22 16:03:25.228388,11,51.17628697836416,35.73758604770154,557.3000545231321
4612.T,1060.4703369140625,800,1042.6639404296875,-14245.1171875,-1.68,2022-08-08 16:03:25.228388,2022-08-23 16:03:25.228388,11,30.739711048060162,23.732370737261938,603.8342789437834
4523.T,5921.517578125,4800,5590.33837890625,-1589660.15625,-5.59,2022-08-12 16:03:25.228388,2022-08-23 16:03:25.228388,7,36.615376966043584,27.737565683223657,620.4930407992857
4151.T,3061.65576171875,2500,3076.37548828125,36799.31640625,0.48,2022-08-10 16:03:25.228388,2022-08-25 16:03:25.228388,11,41.21065441099307,27.889066804775542,613.830989885284
2281.T,2162.083984375,200,2104.300048828125,-11556.787109375,-2.67,2022-08-15 16:03:25.228388,2022-08-29 16:03:25.228388,10,20.27883628625124,16.926429001326408,615.6448139216119
8570.T,1352.94189453125,5200,1367.27392578125,74526.5625,1.06,2022-08-30 16:03:25.228388,2022-09-07 16:03:25.228388,6,62.39620966832666,52.81524858260924,578.030783276788
8354.T,2343.864013671875,4000,2337.250732421875,-26453.125,-0.28,2022-08-25 16:03:25.228388,2022-09-08 16:03:25.228388,10,84.78257347114884,81.135378310659,33.25497055255161
4768.T,4502.23291015625,1700,4274.2099609375,-387639.013671875,-5.06,2022-09-08 16:03:25.228388,2022-09-16 16:03:25.228388,5,38.38172698840516,23.67191831389593,630.3433785314584
2801.T,8697.9462890625,800,8232.337890625,-372486.71875,-5.35,2022-09-13 16:03:25.228388,2022-09-16 16:03:25.228388,3,37.24132963394959,25.81257916677892,645.9712949039699
5019.T,3245.989501953125,800,3033.369873046875,-170095.703125,-6.55,2022-09-20 16:03:25.228388,2022-09-26 16:03:25.228388,4,22.795729245432177,22.79472181142794,464.47255218043824
9983.T,27501.302734375,300,26850.755859375,-195164.0625,-2.37,2022-09-09 16:03:25.228388,2022-09-27 16:03:25.228388,11,22.441427815726193,15.31400859168061,685.9149712424584
9744.T,2254.45166015625,3200,2158.276611328125,-307760.15625,-4.27,2022-09-12 16:03:25.228388,2022-09-28 16:03:25.228388,12,13.402182900950105,8.606593133096329,659.2702383514838
5021.T,3737.35498046875,1800,3539.6611328125,-355848.92578125,-5.29,2022-09-15 16:03:25.228388,2022-09-28 16:03:25.228388,9,37.115377490713726,32.809722589529166,542.0431263589965
2897.T,9800.580078125,300,9835.5966796875,10504.98046875,0.36,2022-09-27 16:03:25.228388,2022-10-06 16:03:25.228388,6,35.26001198230119,22.132839194813812,503.1629362412948
4206.T,3009.979736328125,1100,3053.462646484375,47831.201171875,1.44,2022-10-03 16:03:25.228388,2022-10-12 16:03:25.228388,6,45.18452929315318,39.143656323580096,432.8367003582881
8058.T,4091.9794921875,1100,3869.09619140625,-245171.630859375,-5.45,2022-10-04 16:03:25.228388,2022-10-13 16:03:25.228388,7,25.666191710992486,13.880439097617963,624.7717194271187
6501.T,6277.4189453125,500,6419.93017578125,71255.615234375,2.27,2022-09-29 16:03:25.228388,2022-10-14 16:03:25.228388,10,12.170279127096652,7.860787688806833,404.1509309691918
7202.T,1597.7613525390625,4500,1625.424072265625,124482.23876953125,1.73,2022-10-05 16:03:25.228388,2022-10-14 16:03:25.228388,7,34.428066723915,27.559722108674084,571.3827903017575
5401.T,2019.8338623046875,8400,1986.0906982421875,-283442.578125,-1.67,2022-10-06 16:03:25.228388,2022-10-21 16:03:25.228388,11,42.0364818083141,24.97925217184445,551.052577343887
9843.T,12408.708984375,600,13642.6416015625,740359.5703125,9.94,2022-10-24 16:03:25.228388,2022-10-28 16:03:25.228388,4,48.977283770608764,42.87292640858313,266.409045394609
3382.T,5497.8408203125,1700,5530.47802734375,55483.251953125,0.59,2022-10-18 16:03:25.228388,2022-11-01 16:03:25.228388,10,36.64236505746492,26.11920605569501,584.3312765392212
2229.T,2925.57080078125,3200,2928.51611328125,9425.0,0.1,2022-11-01 16:03:25.228388,2022-11-02 16:03:25.228388,1,39.441021302596525,38.49188542440559,615.4456325920071
2784.T,1678.849609375,4800,1567.972900390625,-532208.203125,-6.6,2022-10-31 16:03:25.228388,2022-11-04 16:03:25.228388,4,43.03995019024821,30.229861364717614,416.7677229343095
9434.T,1396.668212890625,4300,1395.244384765625,-6122.4609375,-0.1,2022-10-26 16:03:25.228388,2022-11-14 16:03:25.228388,13,50.551765584655534,43.71371870163887,246.2037103687904
7164.T,4724.64501953125,2000,4831.4716796875,213653.3203125,2.26,2022-11-02 16:03:25.228388,2022-11-14 16:03:25.228388,8,50.95240628668151,43.74924830724091,533.518611230789
4612.T,946.707275390625,6400,1079.2659912109375,848375.78125,14.0,2022-10-19 16:03:25.228388,2022-11-15 16:03:25.228388,19,14.790840560944138,9.015732536371074,305.20769584559844
4403.T,5340.60205078125,1400,5350.41943359375,13744.3359375,0.18,2022-11-07 16:03:25.228388,2022-11-15 16:03:25.228388,6,56.74690138522808,33.205132741122426,392.3153335475
3765.T,2101.858642578125,2900,2098.90087890625,-8577.5146484375,-0.14,2022-10-25 16:03:25.228388,2022-11-16 16:03:25.228388,16,13.587805189603818,11.430940088861492,211.5284961699797
8595.T,2104.1181640625,10800,2336.5712890625,2510493.75,11.05,2022-11-15 16:03:25.228388,2022-11-28 16:03:25.228388,9,42.98297593189376,38.79795175739897,515.5930659584917
7186.T,435.2796630859375,7800,453.6174011230469,143034.35668945312,4.21,2022-11-17 16:03:25.228388,2022-12-01 16:03:25.228388,10,14.799992414664061,11.851159110013105,512.9227226876261
9613.T,2049.71337890625,1700,2065.5185546875,26868.798828125,0.77,2022-11-16 16:03:25.228388,2022-12-02 16:03:25.228388,12,51.46755519037957,39.346194372299735,543.9601409790569
7846.T,4798.09521484375,700,4626.73486328125,-119952.24609375,-3.57,2022-11-18 16:03:25.228388,2022-12-05 16:03:25.228388,11,6.419342760552986,2.4452567108165395,650.4698120373118
