STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,CUP LEN,HANDLE LEN,CUP DEPTH,HANDLE DEPTH,RRR,1000000
6670.T,953,452,943,-4520,-1.05,2023-04-11,2023-05-12,22,44,32,0.082057738,0.066861832,1.227273243,1107777.002
6727.T,674,371,718,16324,6.53,2023-03-29,2023-06-01,41,76,54,0.164265111,0.116714676,1.407407502,1124101.002
6861.T,61582.5,7,67686.89063,42730.73438,9.91,2023-03-23,2023-06-26,61,84,44,0.185632094,0.083849496,2.213872511,1166831.736
6954.T,4742,56,4943,11256,4.24,2023-06-01,2023-06-27,17,205,81,0.250827515,0.09761776,2.569486491,1178087.736
2371.T,2097.990967,226,1824.168579,-61883.85962,-13.05,2023-06-26,2023-08-03,28,120,35,0.212685008,0.071361528,2.980387516,1116203.876
7846.T,4575.311523,60,4595,1181.308594,0.43,2023-06-27,2023-08-28,44,111,31,0.164324292,0.091891895,1.788234887,1117385.185
6183.T,1509.902344,183,1572,11363.87109,4.11,2023-08-28,2023-10-02,24,334,170,0.171041761,0.111688328,1.531420194,1128749.056
1605.T,1431.178345,298,2080.5,193497.8533,45.37,2023-05-12,2023-10-03,99,38,27,0.158904088,0.069862968,2.27451097,1322246.909
2897.T,12320,23,12345,575,0.2,2023-10-02,2023-10-03,1,36,20,0.091943353,0.056859705,1.617021287,1322821.909
3231.T,3389.360596,122,3575,22648.00732,5.48,2023-08-03,2023-10-04,43,276,40,0.249176357,0.084396745,2.95244038,1345469.917
2897.T,13100,34,11940,-39440,-8.85,2023-10-06,2023-10-16,6,86,63,0.126290033,0.081159372,1.556074541,1306029.917
