STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
FLT,296.3699951171875,1600,297.5899963378906,1952.001953125,0.41,2019-08-08 15:24:22.705917,2019-08-19 15:24:22.705917,7,44.31206286502494,22.90426577485858,712.3635650907931
MU,41.580745697021484,9200,41.77762222290039,1811.2640380859375,0.47,2019-08-15 15:24:22.705917,2019-08-27 15:24:22.705917,8,21.499928576374437,19.896341129703295,626.2096168485054
SCHW,35.11957931518555,28100,35.70585632324219,16474.3839263916,1.67,2019-08-16 15:24:22.705917,2019-08-29 15:24:22.705917,9,10.38557494530772,8.824763243050523,526.617683461584
SIRI,5.636609077453613,300,5.682362079620361,13.725900650024414,0.81,2019-08-21 15:24:22.705917,2019-08-29 15:24:22.705917,6,38.180910852622766,29.891839249176904,578.3916586321197
LRCX,196.26898193359375,4900,217.2967987060547,103036.3021850586,10.71,2019-08-19 15:24:22.705917,2019-09-09 15:24:22.705917,15,45.950569254124304,38.86024504536312,565.2082893388833
IFF,95.8681640625,4000,106.10436248779297,40944.793701171875,10.68,2019-08-28 15:24:22.705917,2019-09-09 15:24:22.705917,8,5.5702432060242915,4.186261113467798,306.8319096188944
STE,149.3133087158203,6700,140.1593017578125,-61331.846618652344,-6.13,2019-08-29 15:24:22.705917,2019-09-09 15:24:22.705917,7,66.74444417107627,60.07162746558451,385.913740676725
DVA,56.369998931884766,100,63.279998779296875,690.9999847412109,12.26,2019-08-30 15:24:22.705917,2019-09-16 15:24:22.705917,11,18.579666406881472,10.040225784270373,607.0041826138462
MCK,139.15370178222656,4400,141.00216674804688,8133.245849609375,1.33,2019-09-09 15:24:22.705917,2019-09-19 15:24:22.705917,8,45.57923543113006,37.44901826808731,300.73092714719337
ENPH,25.06999969482422,200,27.1200008392334,410.00022888183594,8.18,2019-09-17 15:24:22.705917,2019-09-19 15:24:22.705917,2,14.13292316552758,9.703914950115173,497.3593562253696
BBY,59.643131256103516,10200,58.94184494018555,-7153.120422363281,-1.18,2019-09-10 15:24:22.705917,2019-09-24 15:24:22.705917,10,38.68276724111503,24.507560380506867,36.07174698721836
CTVA,28.327919006347656,21100,26.755199432373047,-33184.38301086426,-5.55,2019-09-12 15:24:22.705917,2019-09-24 15:24:22.705917,8,33.07685602674691,20.21569044922652,149.20336187574847
SGEN,70.8499984741211,8600,85.4000015258789,125130.02624511719,20.54,2019-09-11 15:24:22.705917,2019-09-30 15:24:22.705917,13,17.177819537995795,12.826060507072645,476.93862168041755
WST,144.12994384765625,1900,136.17330932617188,-15117.605590820312,-5.52,2019-09-25 15:24:22.705917,2019-10-02 15:24:22.705917,4,37.47178155544758,31.55806965131805,522.020698559552
MDLZ,49.66300582885742,12600,49.83620071411133,2182.2555541992188,0.35,2019-09-23 15:24:22.705917,2019-10-03 15:24:22.705917,7,40.76229455693044,36.47468920687293,557.9436596995672
PDD,32.95000076293945,15000,31.25,-25500.011444091797,-5.16,2019-10-03 15:24:22.705917,2019-10-08 15:24:22.705917,2,34.032030135557804,29.190454329398268,615.8666175799244
HWM,25.38184928894043,19000,27.63338851928711,42779.245376586914,8.87,2019-10-09 15:24:22.705917,2019-10-15 15:24:22.705917,4,28.610295060631394,19.3410656834434,614.9436987509664
GPN,156.6833953857422,3200,151.12095642089844,-17799.8046875,-3.55,2019-10-04 15:24:22.705917,2019-10-22 15:24:22.705917,11,18.86148890405031,14.032889135147837,636.7082193366987
MS,35.926998138427734,13400,39.71662139892578,50780.95169067383,10.55,2019-10-10 15:24:22.705917,2019-10-22 15:24:22.705917,8,20.39026918929919,16.891259719375483,655.1500033003355
