stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
2382.HK,121.6731948852539,260,126.52428436279297,1261.2832641601562,2022-03-25 18:34:35.696988,2022-03-30 18:34:35.696988
0316.HK,176.39736938476562,180,191.19873046875,2664.2449951171875,2022-03-29 18:34:35.696988,2022-04-01 18:34:35.696988
0700.HK,364.6848449707031,87,388.17437744140625,2043.5893249511719,2022-03-28 18:34:35.696988,2022-04-04 18:34:35.696988
2382.HK,123.25721740722656,273,117.61412048339844,-1540.5654602050781,2022-04-01 18:34:35.696988,2022-04-06 18:34:35.696988
2382.HK,117.61412048339844,282,105.43689727783203,-3433.9769439697266,2022-04-06 18:34:35.696988,2022-04-11 18:34:35.696988
0316.HK,166.297607421875,199,164.9916229248047,-259.8909149169922,2022-04-07 18:34:35.696988,2022-04-12 18:34:35.696988
9626.HK,210.8000030517578,151,183.5,-4122.30046081543,2022-04-12 18:34:35.696988,2022-04-19 18:34:35.696988
0388.HK,337.13946533203125,94,327.4447326660156,-911.3048706054688,2022-04-13 18:34:35.696988,2022-04-19 18:34:35.696988
9626.HK,182.1999969482422,166,173.6999969482422,-1411.0,2022-04-20 18:34:35.696988,2022-04-21 18:34:35.696988
0388.HK,327.4447326660156,92,319.9263610839844,-691.690185546875,2022-04-19 18:34:35.696988,2022-04-25 18:34:35.696988
9626.HK,173.6999969482422,170,159.8000030517578,-2362.9989624023438,2022-04-21 18:34:35.696988,2022-04-25 18:34:35.696988
9626.HK,159.8000030517578,180,169.6999969482422,1781.9989013671875,2022-04-25 18:34:35.696988,2022-04-27 18:34:35.696988
9626.HK,169.6999969482422,173,180.1999969482422,1816.5,2022-04-27 18:34:35.696988,2022-04-28 18:34:35.696988
9626.HK,180.1999969482422,166,203.60000610351562,3884.4015197753906,2022-04-28 18:34:35.696988,2022-04-29 18:34:35.696988
0700.HK,375.6333312988281,83,366.67547607421875,-743.5019836425781,2022-04-29 18:34:35.696988,2022-05-04 18:34:35.696988
9626.HK,179.0,172,163.3000030517578,-2700.3994750976562,2022-05-05 18:34:35.696988,2022-05-06 18:34:35.696988
0011.HK,138.9058074951172,225,137.528564453125,-309.8796844482422,2022-05-03 18:34:35.696988,2022-05-10 18:34:35.696988
9626.HK,163.3000030517578,181,155.3000030517578,-1448.0,2022-05-06 18:34:35.696988,2022-05-10 18:34:35.696988
9626.HK,155.3000030517578,190,147.6999969482422,-1444.0011596679688,2022-05-10 18:34:35.696988,2022-05-12 18:34:35.696988
9618.HK,187.5298614501953,155,195.34359741210938,1211.1290740966797,2022-05-12 18:34:35.696988,2022-05-16 18:34:35.696988
9618.HK,195.34359741210938,150,209.7990264892578,2168.3143615722656,2022-05-16 18:34:35.696988,2022-05-17 18:34:35.696988
9618.HK,209.7990264892578,143,199.8000030517578,-1429.8603515625,2022-05-17 18:34:35.696988,2022-05-19 18:34:35.696988
0700.HK,352.20001220703125,84,338.0,-1192.801025390625,2022-05-20 18:34:35.696988,2022-05-24 18:34:35.696988
0669.HK,98.83330535888672,301,93.43880462646484,-1623.7447204589844,2022-05-23 18:34:35.696988,2022-05-24 18:34:35.696988
2020.HK,78.80847930908203,365,86.25729370117188,2718.817253112793,2022-05-24 18:34:35.696988,2022-05-30 18:34:35.696988
0700.HK,334.0,86,350.0,1376.0,2022-05-25 18:34:35.696988,2022-05-30 18:34:35.696988
9626.HK,158.5,182,173.8000030517578,2784.600555419922,2022-05-27 18:34:35.696988,2022-05-30 18:34:35.696988
9626.HK,173.8000030517578,178,182.0,1459.5994567871094,2022-05-30 18:34:35.696988,2022-06-01 18:34:35.696988
0316.HK,213.93125915527344,147,222.47398376464844,1255.780517578125,2022-06-10 18:34:35.696988,2022-06-15 18:34:35.696988
9626.HK,210.1999969482422,152,211.1999969482422,152.0,2022-06-15 18:34:35.696988,2022-06-20 18:34:35.696988
0669.HK,84.77789306640625,377,79.97727966308594,-1809.8312530517578,2022-06-16 18:34:35.696988,2022-06-20 18:34:35.696988
0316.HK,211.75015258789062,148,196.66407775878906,-2232.7390747070312,2022-06-20 18:34:35.696988,2022-06-23 18:34:35.696988
9999.HK,142.5127716064453,220,152.79925537109375,2263.0264282226562,2022-06-21 18:34:35.696988,2022-06-27 18:34:35.696988
0316.HK,197.20936584472656,153,195.02825927734375,-333.7093048095703,2022-06-24 18:34:35.696988,2022-06-29 18:34:35.696988
0700.HK,365.0,85,347.0,-1530.0,2022-06-29 18:34:35.696988,2022-07-04 18:34:35.696988
0316.HK,189.03018188476562,166,189.93898010253906,150.86050415039062,2022-06-30 18:34:35.696988,2022-07-05 18:34:35.696988
0700.HK,348.79998779296875,88,342.3999938964844,-563.199462890625,2022-07-05 18:34:35.696988,2022-07-11 18:34:35.696988
9618.HK,230.8000030517578,133,244.0,1755.599594116211,2022-07-12 18:34:35.696988,2022-07-14 18:34:35.696988
1211.HK,268.20001220703125,115,283.0,1701.9985961914062,2022-07-13 18:34:35.696988,2022-07-14 18:34:35.696988
0700.HK,342.3999938964844,89,325.0,-1548.5994567871094,2022-07-11 18:34:35.696988,2022-07-15 18:34:35.696988
1211.HK,283.0,114,290.0,798.0,2022-07-14 18:34:35.696988,2022-07-19 18:34:35.696988
9626.HK,187.39999389648438,164,201.60000610351562,2328.802001953125,2022-07-18 18:34:35.696988,2022-07-20 18:34:35.696988
0700.HK,333.20001220703125,96,326.3999938964844,-652.8017578125,2022-07-19 18:34:35.696988,2022-07-25 18:34:35.696988
0388.HK,356.13323974609375,91,351.97833251953125,-378.0965576171875,2022-07-20 18:34:35.696988,2022-07-25 18:34:35.696988
1211.HK,284.3999938964844,114,289.0,524.4006958007812,2022-07-21 18:34:35.696988,2022-07-26 18:34:35.696988
0700.HK,329.3999938964844,98,306.79998779296875,-2214.8005981445312,2022-07-26 18:34:35.696988,2022-07-29 18:34:35.696988
