stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr
6069.HK,6.451,34339,5.968,-16585.737,-7.49,2023-01-31,2023-02-21,15,105,36,0.292047745,0.073321966,3.983086681
0914.HK,28.359,7280,28.128,-1681.68,-0.81,2023-01-27,2023-03-02,24,85,48,0.362600938,0.108960118,3.327831715
0390.HK,4.183,53403,5.054,46514.013,20.82,2023-02-22,2023-03-15,15,147,26,0.299784843,0.10064547,2.978622328
0855.HK,7.32,29669,6.75,-16911.33,-7.79,2023-03-08,2023-03-15,5,161,39,0.253551913,0.076775956,3.302491103
0778.HK,6.625,32782,6.5,-4097.75,-1.89,2023-03-07,2023-03-31,18,175,35,0.265207547,0.054188679,4.894150418
0144.HK,10.492,22170,10.606,2527.38,1.09,2023-02-15,2023-04-03,33,110,62,0.299847503,0.101315288,2.959548448
0001.HK,46.516,4669,47.619,5149.907,2.37,2023-03-09,2023-04-04,18,209,36,0.30393843,0.100008599,3.039122958
0363.HK,10.251,21804,11.854,34951.812,15.64,2023-04-06,2023-05-08,19,169,60,0.294702956,0.076382792,3.858237548
2666.HK,4.417,53223,4.575,8409.234,3.58,2023-03-24,2023-05-19,36,165,71,0.367670365,0.12383971,2.968921389
2057.HK,231,1054,197.8,-34992.8,-14.37,2023-05-19,2023-05-31,7,77,28,0.218757576,0.080519481,2.716827957
6823.HK,10.122,22083,9.529,-13095.219,-5.86,2023-04-17,2023-06-01,31,169,62,0.232562735,0.07370085,3.155495979
0001.HK,48.962,4565,48.15,-3706.78,-1.66,2023-04-14,2023-06-07,36,514,72,0.299844778,0.095012459,3.155846948
1475.HK,6.579,35732,6.64,2179.652,0.93,2023-03-16,2023-06-27,67,296,133,0.273293814,0.065359477,4.181395349
0659.HK,7.41,28733,8.9,42812.17,20.11,2023-06-14,2023-06-27,8,254,131,0.337112011,0.116059379,2.904651163
3360.HK,6.792,38055,5.92,-33183.96,-12.84,2023-05-08,2023-07-07,42,288,105,0.31360424,0.12426384,2.523696682
