Date,Stock,Gain,Total
2022-04-02,,,89141.20348567516
2022-04-03,,,89141.20348567516
2022-04-04,9908.HK,301.915678024292,89443.11916369945
2022-04-05,,,89443.11916369945
2022-04-06,9913.HK,-384.0396337509155,89059.07952994853
2022-04-07,,,89059.07952994853
2022-04-08,,,89059.07952994853
2022-04-09,,,89059.07952994853
2022-04-10,,,89059.07952994853
2022-04-11,9633.HK,1058.8077545166016,90117.88728446513
2022-04-12,,,90117.88728446513
2022-04-13,,,90117.88728446513
2022-04-14,9908.HK,-362.2999877929688,89755.58729667217
2022-04-15,,,89755.58729667217
2022-04-16,,,89755.58729667217
2022-04-17,,,89755.58729667217
2022-04-18,,,89755.58729667217
2022-04-19,6117.HK,1217.6027559041977,90973.19005257636
2022-04-20,,,90973.19005257636
2022-04-21,9633.HK,-1626.0259857177734,89347.16406685859
2022-04-22,,,89347.16406685859
2022-04-23,,,89347.16406685859
2022-04-24,,,89347.16406685859
2022-04-25,9908.HK,-2203.98180770874,87143.18225914985
2022-04-26,,,87143.18225914985
2022-04-27,,,87143.18225914985
2022-04-28,6199.HK,0.0,87143.18225914985
2022-04-29,9633.HK,-1206.812141418457,85936.37011773139
2022-04-30,,,85936.37011773139
2022-05-01,,,85936.37011773139
2022-05-02,,,85936.37011773139
2022-05-03,,,85936.37011773139
2022-05-04,9908.HK,-604.2237091064453,85332.14640862495
2022-05-05,,,85332.14640862495
2022-05-06,,,85332.14640862495
2022-05-07,,,85332.14640862495
2022-05-08,,,85332.14640862495
2022-05-09,,,85332.14640862495
2022-05-10,9633.HK,1173.737289428711,86505.88369805366
2022-05-11,6199.HK,361.4115734100342,86867.29527146369
2022-05-12,,,86867.29527146369
2022-05-13,,,86867.29527146369
2022-05-14,,,86867.29527146369
2022-05-15,,,86867.29527146369
2022-05-16,9908.HK,-4380.618953704834,82486.67631775886
2022-05-17,,,82486.67631775886
2022-05-18,9908.HK,2507.525749206543,84994.2020669654
2022-05-19,,,84994.2020669654
2022-05-20,9908.HK,2260.0114674568176,87254.21353442222
2022-05-21,,,87254.21353442222
2022-05-22,,,87254.21353442222
2022-05-23,9633.HK,790.2588500976562,88044.47238451988
2022-05-24,6199.HK,-924.394525527954,87120.07785899192
2022-05-25,,,87120.07785899192
2022-05-26,,,87120.07785899192
2022-05-27,,,87120.07785899192
2022-05-28,,,87120.07785899192
2022-05-29,,,87120.07785899192
2022-05-30,9908.HK,1677.8890419006348,88797.96690089256
2022-05-31,,,88797.96690089256
2022-06-01,,,88797.96690089256
2022-06-02,9633.HK,-1546.1563110351562,87251.8105898574
2022-06-03,,,87251.8105898574
2022-06-04,,,87251.8105898574
2022-06-05,,,87251.8105898574
2022-06-06,6199.HK,-1039.9480905532837,86211.86249930412
2022-06-07,,,86211.86249930412
2022-06-08,,,86211.86249930412
2022-06-09,9908.HK,158.85312461853027,86370.71562392265
2022-06-10,,,86370.71562392265
2022-06-11,,,86370.71562392265
2022-06-12,,,86370.71562392265
2022-06-13,9633.HK,2446.962615966797,88817.67823988944
2022-06-14,,,88817.67823988944
2022-06-15,,,88817.67823988944
2022-06-16,6199.HK,2657.638510227204,91475.31675011665
2022-06-17,,,91475.31675011665
2022-06-18,,,91475.31675011665
2022-06-19,,,91475.31675011665
2022-06-20,9908.HK,837.8392009735107,92313.15595109016
2022-06-21,,,92313.15595109016
2022-06-22,,,92313.15595109016
2022-06-23,6117.HK,1983.6900788247583,94296.84602991492
2022-06-24,,,94296.84602991492
2022-06-25,,,94296.84602991492
2022-06-26,,,94296.84602991492
2022-06-27,9633.HK,327.0,94623.84602991492
2022-06-28,,,94623.84602991492
2022-06-29,,,94623.84602991492
2022-06-30,9908.HK,-663.8585338592529,93959.98749605566
2022-07-01,,,93959.98749605566
2022-07-02,,,93959.98749605566
2022-07-03,,,93959.98749605566
2022-07-04,,,93959.98749605566
2022-07-05,,,93959.98749605566
2022-07-06,,,93959.98749605566
2022-07-07,,,93959.98749605566
2022-07-08,,,93959.98749605566
2022-07-09,,,93959.98749605566
2022-07-10,,,93959.98749605566
