STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
8410.T,227.7502899169922,2600,228.67237854003906,2397.430419921875,0.4,2022-01-28 08:59:08.679575,2022-02-15 08:59:08.679575,9,53.63155985955292,48.41722336340244,508.83516655380805
6724.T,1717.7366943359375,800,1755.6767578125,30352.05078125,2.21,2022-02-04 08:59:08.679575,2022-02-16 08:59:08.679575,8,12.804750057874799,8.274401176342774,645.7541495196967
2801.T,8558.5234375,100,8844.46484375,28594.140625,3.34,2022-01-24 08:59:08.679575,2022-02-18 08:59:08.679575,16,12.90042361283182,8.235548850757965,559.7637079992887
7956.T,2117.592529296875,500,1944.5926513671875,-86499.93896484375,-8.17,2022-02-16 08:59:08.679575,2022-02-24 08:59:08.679575,6,39.64530354200677,30.01064892267501,309.23536178847485
5714.T,5153.103515625,200,5687.20654296875,106820.60546875,10.36,2022-02-28 08:59:08.679575,2022-03-02 08:59:08.679575,2,44.506267900933615,33.77445912783617,519.2071335804931
5020.T,430.712158203125,1500,402.1445617675781,-42851.39465332031,-6.63,2022-03-03 08:59:08.679575,2022-03-09 08:59:08.679575,4,42.87631142541608,29.830780213387015,480.5170523571022
7550.T,2730.475341796875,200,2731.462158203125,197.36328125,0.04,2022-03-01 08:59:08.679575,2022-03-10 08:59:08.679575,7,49.30552162864028,41.972184724348224,440.6934427310871
8331.T,661.2124633789062,900,718.2955322265625,51374.761962890625,8.63,2022-03-10 08:59:08.679575,2022-03-17 08:59:08.679575,5,11.676648709019828,8.799084886109497,520.7045348368657
2384.T,3155.6328125,200,3263.266845703125,21526.806640625,3.41,2022-02-25 08:59:08.679575,2022-03-22 08:59:08.679575,17,30.773078922546354,17.842498195944632,589.7449588877377
8802.T,1616.2252197265625,300,1764.678466796875,44535.97412109375,9.19,2022-03-16 08:59:08.679575,2022-03-23 08:59:08.679575,5,28.46323652876068,18.43012962285723,596.150574778677
7202.T,1398.4302978515625,400,1455.2625732421875,22732.91015625,4.06,2022-03-15 08:59:08.679575,2022-04-01 08:59:08.679575,13,50.532198249263246,32.87446899596534,598.8359973040886
5334.T,1709.2052001953125,400,1791.4083251953125,32881.25,4.81,2022-03-14 08:59:08.679575,2022-04-04 08:59:08.679575,15,17.63977144737259,10.163695468957982,643.2754365449558
9744.T,2044.583251953125,300,2118.361083984375,22133.349609375,3.61,2022-03-17 08:59:08.679575,2022-04-04 08:59:08.679575,12,21.44430747946233,14.414888346258266,599.6441753201711
4921.T,2805.12451171875,200,2752.791748046875,-10466.552734375,-1.87,2022-03-22 08:59:08.679575,2022-04-05 08:59:08.679575,9,24.8887806503577,18.108557432799092,613.5769426866906
4568.T,2519.571044921875,200,2800.570068359375,56199.8046875,11.15,2022-03-23 08:59:08.679575,2022-04-07 08:59:08.679575,10,19.306369601561602,12.020162157396836,533.5630899441342
4307.T,4113.87353515625,500,3971.677490234375,-71098.0224609375,-3.46,2022-04-04 08:59:08.679575,2022-04-18 08:59:08.679575,7,59.83402759771256,52.936073847500225,463.8619029684053
9434.T,1360.9366455078125,300,1366.0045166015625,1520.361328125,0.37,2022-04-08 08:59:08.679575,2022-04-19 08:59:08.679575,5,63.15244674723867,59.679730341499884,425.34014455407134
8303.T,2335.706787109375,100,2343.664794921875,795.80078125,0.34,2022-04-14 08:59:08.679575,2022-04-22 08:59:08.679575,4,69.06427984342945,62.25064677606806,400.11112991842367
9503.T,1118.0849609375,300,1127.584228515625,2849.7802734375,0.85,2022-04-13 08:59:08.679575,2022-04-27 08:59:08.679575,8,50.175777262385644,43.678244283268235,388.29834836574406
8058.T,4279.173828125,300,4018.768798828125,-78121.5087890625,-6.09,2022-04-19 08:59:08.679575,2022-04-27 08:59:08.679575,6,51.21692886661403,39.82181789146426,629.8401853135559
4183.T,2817.29931640625,100,2669.8662109375,-14743.310546875,-5.23,2022-04-21 08:59:08.679575,2022-04-27 08:59:08.679575,4,22.643345840315316,18.089195939888448,645.9790079884646
2433.T,1484.16552734375,500,1452.4442138671875,-15860.65673828125,-2.14,2022-04-20 08:59:08.679575,2022-05-10 08:59:08.679575,12,41.6049379249313,33.5387522481134,666.9669683151379
4704.T,7085.4365234375,100,6695.05419921875,-39038.232421875,-5.51,2022-04-28 08:59:08.679575,2022-05-13 08:59:08.679575,9,51.54001328112501,33.13637473911698,708.9320360195173
4812.T,3630.797607421875,100,4043.940673828125,41314.306640625,11.38,2022-04-26 08:59:08.679575,2022-05-17 08:59:08.679575,13,24.461531483252692,19.992303308164203,617.5588691897631
7733.T,2735.5126953125,100,2594.020751953125,-14149.1943359375,-5.17,2022-05-13 08:59:08.679575,2022-05-19 08:59:08.679575,4,48.175484688112206,33.35891139712268,209.00851747053713
3003.T,1011.5636596679688,500,991.7476196289062,-9908.02001953125,-1.96,2022-05-06 08:59:08.679575,2022-05-20 08:59:08.679575,9,34.04907900548518,28.668786259715166,656.1980995234309
